road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L002,L007,0.8,5,1.0
R002,L002,L008,1.4,8,1.2
R003,L006,L007,0.5,3,1.0
R004,L004,L008,3.2,12,1.4
R005,L001,L009,6.5,22,1.8
R006,L003,L010,2.1,10,1.5
R007,L005,L009,4.2,15,1.3
R008,L011,L002,0.4,2,1.0
R009,L012,L001,0.5,3,1.1
R010,L013,L011,0.4,2,1.0
R011,L013,L027,0.8,5,1.1
R012,L013,L032,0.7,4,1.0
R013,L014,L047,0.5,3,1.1
R014,L014,L035,0.8,5,1.2
R015,L014,L044,0.6,4,1.1
R016,L015,L049,0.4,2,1.0
R017,L015,L009,0.8,4,1.2
R018,L015,L010,2.4,10,1.4
R019,L016,L046,0.4,2,1.0
R020,L016,L037,0.6,4,1.2
R021,L016,L045,0.5,3,1.1
R022,L017,L048,0.3,2,1.0
R023,L017,L043,0.6,4,1.3
R024,L017,L041,1.0,6,1.4
R025,L018,L048,0.5,3,1.1
R026,L018,L042,0.7,4,1.2
R027,L019,L011,0.3,2,1.0
R028,L019,L028,0.5,3,1.0
R029,L019,L031,0.6,4,1.1
R030,L020,L047,0.4,2,1.0
R031,L020,L035,0.7,4,1.2
R032,L020,L036,0.9,5,1.3
R033,L021,L048,0.4,2,1.0
R034,L021,L043,0.5,3,1.2
R035,L022,L049,0.3,2,1.0
R036,L022,L009,0.5,3,1.1
R037,L023,L046,0.4,2,1.0
R038,L023,L045,0.5,3,1.1
R039,L024,L012,0.4,2,1.0
R040,L024,L001,0.6,4,1.4
R041,L025,L051,0.3,2,1.0
R042,L025,L040,0.5,3,1.2
R043,L026,L052,0.3,2,1.0
R044,L026,L039,0.5,3,1.2
R045,L027,L028,0.5,3,1.0
R046,L028,L029,0.4,2,1.0
R047,L029,L030,0.5,3,1.0
R048,L030,L031,0.4,2,1.0
R049,L031,L032,0.4,2,1.0
R050,L032,L033,0.4,2,1.0
R051,L033,L034,0.5,3,1.1
R052,L034,L011,0.4,2,1.0
R053,L035,L036,0.8,5,1.2
R054,L036,L044,0.5,3,1.1
R055,L037,L038,0.5,3,1.2
R056,L038,L045,0.4,2,1.1
R057,L039,L040,0.6,4,1.2
R058,L040,L051,0.3,2,1.0
R059,L041,L042,0.9,5,1.3
R060,L043,L041,0.6,4,1.3
R061,L044,L035,0.6,4,1.2
R062,L044,L047,0.5,3,1.1
R063,L045,L046,0.4,2,1.0
R064,L045,L037,0.6,4,1.2
R065,L046,L051,2.1,10,1.4
R066,L047,L049,4.5,18,1.5
R067,L048,L049,3.8,16,1.4
R068,L049,L050,2.6,11,1.3
R069,L050,L048,2.4,10,1.3
R070,L051,L052,1.4,7,1.2
R071,L027,L032,0.4,2,1.0
R072,L028,L033,0.5,3,1.0
R073,L029,L034,0.6,3,1.1
R074,L030,L033,0.4,2,1.0
R075,L031,L034,0.5,3,1.0
R076,L032,L034,0.6,3,1.1
R077,L035,L049,5.1,20,1.6
R078,L036,L049,4.8,18,1.5
R079,L037,L051,1.2,6,1.2
R080,L038,L051,1.0,5,1.1
R081,L039,L052,0.4,2,1.0
R082,L040,L052,0.6,3,1.1
R083,L041,L048,0.7,4,1.2
R084,L042,L048,0.5,3,1.1
R085,L043,L048,0.3,2,1.0
R086,L011,L047,3.2,13,1.4
R087,L011,L046,3.8,15,1.5
R088,L012,L049,5.7,21,1.7
R089,L012,L051,6.8,25,1.8
R090,L011,L052,4.4,17,1.5
R091,L013,L019,0.6,3,1.0
R092,L014,L020,0.5,3,1.0
R093,L015,L022,0.4,2,1.0
R094,L016,L023,0.5,3,1.1
R095,L017,L021,0.6,4,1.2
R096,L018,L017,0.8,5,1.2
R097,L019,L027,0.5,3,1.0
R098,L020,L044,0.5,3,1.1
R099,L021,L041,0.7,4,1.2
R100,L022,L010,2.2,10,1.4
R101,L023,L038,0.4,2,1.0
R102,L024,L005,3.9,16,1.5
R103,L025,L039,0.5,3,1.1
R104,L026,L040,0.6,3,1.1
R105,L027,L031,0.5,3,1.0
R106,L028,L032,0.5,3,1.0
R107,L029,L033,0.5,3,1.0
R108,L030,L034,0.5,3,1.0
R109,L035,L047,0.5,3,1.1
R110,L036,L047,0.6,3,1.1
R111,L037,L045,0.4,2,1.0
R112,L038,L046,0.5,3,1.0
R113,L039,L051,0.7,4,1.2
R114,L040,L045,0.8,5,1.2
R115,L041,L043,0.6,4,1.2
R116,L042,L043,0.5,3,1.1
R117,L047,L048,4.0,16,1.5
R118,L048,L050,2.3,10,1.3
R119,L049,L051,6.1,23,1.7
R120,L046,L052,1.7,8,1.2
